gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
COL12A1,5.55e-17,1.90777392487625e-13,4.107825191113079e-15,2.6405100328474873e-11,0.4249468136665218,0.1487542279755095,True,True,True
COL1A1,5.55e-17,1.90777392487625e-13,4.108185192031044e-08,3.520988588583407e-05,0.3282866460031675,0.1487542279755095,True,True,True
SPARC,5.55e-17,1.90777392487625e-13,3.90386492188366e-06,0.0014339453553067,0.278489009581478,0.0877349947292727,True,True,True
FN1,5.55e-17,1.90777392487625e-13,6.457612222732223e-11,2.4604914772297093e-07,0.4153203053070258,0.252212021085435,True,True,True
HLA-B,5.55e-17,1.90777392487625e-13,0.0036812408467046,0.2477802739541081,0.0866593789408021,0.252212021085435,True,False,False
LUM,5.55e-17,1.90777392487625e-13,2.8860623668691687e-08,2.650229842033574e-05,0.2121111182972095,0.252212021085435,True,True,True
COL1A2,5.55e-17,1.90777392487625e-13,7.932096091067821e-10,1.456786104953827e-06,0.2634814831499933,0.252212021085435,True,True,True
RPS9,5.55e-17,1.90777392487625e-13,0.0360085720876057,0.762034710258826,0.1161848935321702,0.0877349947292727,True,False,False
B2M,5.55e-17,1.90777392487625e-13,0.0011173188346094,0.1177397617847429,0.1948943404723236,0.0877349947292727,True,False,False
COL3A1,5.55e-17,1.90777392487625e-13,9.741207840363586e-11,2.504659359914285e-07,0.3266456317476439,0.1487542279755095,True,True,True
RPL29,5.55e-17,1.90777392487625e-13,0.0054528358756226,0.310184327508869,0.1042128176322056,0.1487542279755095,True,False,False
POSTN,5.55e-17,1.90777392487625e-13,1.299733876081177e-09,1.9147290259091677e-06,0.2547222893963324,0.252212021085435,True,True,True
RPL41,5.55e-17,1.90777392487625e-13,6.350934247345563e-05,0.0145799304792633,0.1747387684936032,0.1487542279755095,True,True,True
SFRP2,5.55e-17,1.90777392487625e-13,1.4893660749137894e-09,1.9147290259091677e-06,0.2897916741109138,0.1487542279755095,True,True,True
CTHRC1,1.11022302462516e-16,3.33927517122518e-13,2.4691473821114585e-07,0.0001763519930245,0.2200466872892283,0.252212021085435,True,True,True
COL6A3,1.11022302462516e-16,3.33927517122518e-13,6.931331832682464e-05,0.0148515336734942,0.2219535774456992,0.0877349947292727,True,True,True
RPL18A,2.2204460492503099e-16,5.62404239364242e-13,0.0197720035022207,0.6171226407226172,0.1137271074368101,0.1487542279755095,True,False,False
HTRA1,2.2204460492503099e-16,5.62404239364242e-13,1.2464249858012977e-05,0.0036418271857867,0.1612333815168359,0.1487542279755095,True,True,True
PRRX1,2.2204460492503099e-16,5.62404239364242e-13,2.0273156486894095e-09,2.369379089050095e-06,0.2435830458482038,0.252212021085435,True,True,True
TMSB4X,4.44089209850063e-16,1.0685680547920599e-12,0.0062282135605845,0.3350205587233268,0.2684882688746041,0.0517459530724249,True,False,False
SULF1,6.66133814775094e-16,1.5265257925600798e-12,1.8555956771137971e-10,3.975923004162496e-07,0.318105266547672,0.1487542279755095,True,True,True
