gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
Kcnh3,2.2204460492503099e-16,6.52678602849007e-13,1.2190631056729906e-05,0.0019788923071957,0.2927873644579059,0.099290620603231,True,True,True
Fabp7,5.55e-17,6.52678602849007e-13,0.0,0.0,0.7625420381226707,0.099290620603231,True,True,True
Calm2,2.2204460492503099e-16,6.52678602849007e-13,1.6857659712599116e-10,1.2998309242145958e-07,0.469956348845676,0.099290620603231,True,True,True
Rbfox3,2.2204460492503099e-16,6.52678602849007e-13,0.0003310087090204,0.0256833612778968,0.2588741755424762,0.099290620603231,True,True,True
Camk2b,2.2204460492503099e-16,6.52678602849007e-13,1.695261819811833e-09,1.1007602668957149e-06,0.3916873745319467,0.099290620603231,True,True,True
Nrgn,2.2204460492503099e-16,6.52678602849007e-13,1.0703668364642205e-05,0.0017844750893863,0.3022743609231164,0.099290620603231,True,True,True
Sparcl1,1.11022302462516e-16,6.52678602849007e-13,0.0,0.0,0.6540109456842205,0.099290620603231,True,True,True
Apoe,5.55e-17,6.52678602849007e-13,0.0,0.0,0.7020277631801082,0.099290620603231,True,True,True
Apod,5.55e-17,6.52678602849007e-13,0.0,0.0,0.7550329129271164,0.099290620603231,True,True,True
Sash1,5.55e-17,6.52678602849007e-13,1.8424133108041474e-08,9.734547018215117e-06,0.3720534800679907,0.099290620603231,True,True,True
Nrsn1,2.2204460492503099e-16,6.52678602849007e-13,5.749635234586493e-08,2.5333303531819124e-05,0.627845940478348,0.1695474016689043,True,True,True
Igfbp5,5.55e-17,6.52678602849007e-13,4.083045013203446e-11,3.5980375948493504e-08,0.459877325636863,0.099290620603231,True,True,True
Omp,5.55e-17,6.52678602849007e-13,4.4787223374420655e-08,2.046444351000843e-05,0.3792763847801448,0.099290620603231,True,True,True
Timp3,2.2204460492503099e-16,6.52678602849007e-13,1.9585083808060233e-06,0.0004558890168679,0.3544209553101933,0.099290620603231,True,True,True
Gpsm1,2.2204460492503099e-16,6.52678602849007e-13,9.526060251174862e-06,0.0016322639627603,0.3077444430475954,0.099290620603231,True,True,True
Ppia,2.2204460492503099e-16,6.52678602849007e-13,1.2633636703451856e-07,4.4388036336042345e-05,0.3622166099588912,0.099290620603231,True,True,True
Id3,2.2204460492503099e-16,6.52678602849007e-13,0.0004680738840475,0.0333257051173918,0.2535109095798126,0.099290620603231,True,True,True
Grb2,2.2204460492503099e-16,6.52678602849007e-13,2.7766065271439544e-06,0.0005871174553233,0.3352363045933196,0.099290620603231,True,True,True
