"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
1.74871697745346e-12,0.206350607003027,1.21586892861456e-18,0.991019892990333,3.39217685968123e-21,0.4331929302664,5.55757522777839e-21,0.68986397857584,6.55908760291465e-19,0.000219753435821381,5.55e-17,1.90777392487625e-13,"RPS9"
1.087122999257e-13,0.0268512052763978,3.35869953270936e-19,0.999732424178623,1.22678690821352e-20,0.647628259130791,5.35476930784737e-19,0.222585497945767,1.81388189126211e-16,0.0190168756447562,5.55e-17,1.90777392487625e-13,"RPL41"
8.18163974848095e-26,0.121532787652761,2.75152727866692e-35,0.984568757786824,8.48445888066861e-38,0.979824100928789,4.35391732058259e-35,0.328988881291265,1.88019746239309e-30,0.545310213796678,5.55e-17,1.90777392487625e-13,"POSTN"
2.87369469478624e-15,0.00296786561540152,5.04407524933614e-20,0.999093624213681,4.4846203918429e-21,0.994475567636136,3.85737320234745e-19,0.278115347027571,6.02417670495581e-16,0.00552441328903012,5.55e-17,1.90777392487625e-13,"HLA-B"
1.15631802236112e-20,0.00036110455622658,1.27919822594607e-27,0.85847872859175,1.04763462818277e-26,0.825700089000209,3.10423076709526e-21,0.916431707011757,3.13465567267516e-16,0.320238714650061,5.55e-17,1.90777392487625e-13,"SPARC"
3.6049151350589e-22,0.00111525682060823,2.48086840497521e-29,0.999722275727336,4.41512631041099e-29,0.999970387783305,2.65611156432259e-24,0.541805394362835,2.04847104342964e-19,0.00847318963161361,5.55e-17,1.90777392487625e-13,"COL12A1"
4.52801659456833e-31,0.00864966177579835,5.61082843784045e-42,0.975719044394814,1.3721190879973e-42,0.997548200949113,2.45262930330635e-36,0.676554297691868,2.30579683804213e-29,0.381289284837092,5.55e-17,1.90777392487625e-13,"COL3A1"
3.28984072845685e-19,0.0145212272164379,2.54277432474644e-27,0.989131246543898,1.36111130069966e-28,0.968206712547505,5.93862355035071e-25,0.841572871546681,9.86682676680695e-21,0.274683657693398,5.55e-17,1.90777392487625e-13,"LUM"
9.92137602175788e-29,0.000342110361559718,1.09081753680869e-39,0.999727717972584,7.89432651253752e-42,0.990993186258318,2.40898405112789e-37,0.67427783509702,1.22238242672657e-30,0.000486220876869173,5.55e-17,1.90777392487625e-13,"B2M"
1.3685753771059e-14,0.0132386796300345,2.81393296606306e-20,0.987779506697591,5.53607922240444e-21,0.689762911926977,4.21456410736047e-19,0.338130190523356,1.63120173715844e-16,0.000692145702927055,5.55e-17,1.90777392487625e-13,"RPL29"
1.47326419237308e-26,0.0013768608551139,1.47801040103341e-36,0.997169805718217,5.11501960526325e-37,0.728769916630076,5.13235275510933e-31,0.602374763433135,1.0785023267081e-24,0.55194505137899,5.55e-17,1.90777392487625e-13,"COL1A2"
1.15898535404215e-27,0.00253892786735652,4.10201833425194e-37,0.999679673674113,1.77369595830377e-37,0.98053600938418,4.70936249077642e-32,0.466606660805861,4.84807590735133e-26,0.225802094776006,5.55e-17,1.90777392487625e-13,"COL1A1"
2.13003054763322e-30,0.00369674782735226,4.25849294123984e-41,0.975728756753893,4.63390592759128e-42,0.999965410679463,1.18703320505948e-36,0.720798467084271,2.27696688635692e-30,0.132414098661617,5.55e-17,1.90777392487625e-13,"FN1"
1.75103257671165e-20,0.0120428222719819,9.57760651322213e-28,0.974706845303619,1.05637680082644e-26,0.985496059726228,2.15865207581017e-21,0.852269274087138,9.28338465928158e-17,0.0169357044358734,5.55e-17,1.90777392487625e-13,"SFRP2"
1.9813502353357e-13,0.0274608505208981,5.01543439700728e-18,0.805479430191775,4.56960580771268e-18,0.697624863732009,4.72116651778113e-15,0.29009625778942,3.89872745700564e-12,0.252955259945923,1.11022302462516e-16,3.33927517122518e-13,"COL6A3"
2.97034033341637e-12,0.0705225087159271,3.31273868518381e-18,0.746173178928586,1.77735313623092e-19,0.987095216481711,3.92503857217257e-17,0.574365630230087,3.6008121027448e-14,0.041500571362326,1.11022302462516e-16,3.33927517122518e-13,"CTHRC1"
5.10367665386357e-13,0.000941470316997768,6.11653864722906e-18,0.9122331915853,3.21827365392301e-17,0.834227091636302,5.86884428876707e-13,0.72561652440719,3.60924324699902e-09,0.0902835305928902,2.22044604925031e-16,5.62404239364242e-13,"HTRA1"
1.89505417934442e-11,0.10560670127111,2.31143353193477e-16,0.477672683172078,2.41369645465473e-17,0.497761957169474,7.85330377700335e-17,0.954069972090782,2.45016900660111e-15,4.65919447811583e-06,2.22044604925031e-16,5.62404239364242e-13,"RPL18A"
1.98567879158089e-10,0.0222080752761644,2.00000153296294e-16,0.579410272003145,1.75141465223591e-18,0.67246170629971,5.5111394459406e-17,0.766313221861246,3.79387837637857e-14,0.0667049111252447,2.22044604925031e-16,5.62404239364242e-13,"PRRX1"
6.87327492970468e-13,0.0388789818030013,6.27535252326558e-17,0.946809123738448,3.29529089007449e-17,0.679178783945906,8.86627608933431e-15,0.071303606371271,3.58870035191851e-12,0.00477352524617427,4.44089209850063e-16,1.06856805479206e-12,"TMSB4X"
1.68018197176906e-11,0.0209113454624675,3.14237837098218e-16,0.830531541836124,7.48050120229668e-17,0.770172630442848,8.45196524348726e-14,0.634940840693497,2.0152341652002e-10,0.0736392104412007,6.66133814775094e-16,1.52652579256008e-12,"SULF1"
