"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
1.9009630980164e-17,0.0232471250842652,5.55891515778365e-15,0.999833737995046,3.12069472823994e-06,0.995013883344657,0.00394078294451914,0.205722823619947,0.0211204587888824,1.39912758777148e-22,1.11022302462516e-16,6.52678602849007e-13,"Pcp4"
2.99819019426334e-15,0.193288203694418,3.17032031129278e-14,0.980617908673097,1.33658181346686e-06,0.999728096641282,0.00151073112997093,0.538222125572515,0.011133074450112,4.79609735951357e-18,2.22044604925031e-16,6.52678602849007e-13,"Sez6"
3.06599898036835e-11,0.119995022084828,5.67324420957818e-10,0.998288361315292,0.000510301477611849,0.79319350605616,0.0508724431455774,0.104508445977926,0.12350852220141,6.53131452442279e-19,2.22044604925031e-16,6.52678602849007e-13,"Rbfox3"
6.81947379087593e-20,0.421748710374655,4.16237536338563e-20,0.996409231047944,5.99338135162405e-12,0.997020453379123,3.48985276467415e-08,0.616065390814967,5.21193894993836e-07,7.44054330915101e-19,5.55e-17,6.52678602849007e-13,"Gng13"
2.81996917881282e-16,0.0182765133279093,9.18709290391196e-16,0.971120486294172,1.3662917968473e-08,0.976393105155135,1.66940355805836e-05,0.461951566652885,0.000277513152571352,5.87595090849569e-19,2.22044604925031e-16,6.52678602849007e-13,"Gng4"
4.65596645928211e-15,0.571733608133539,2.1900224517706e-14,0.999435863925968,1.16679718628825e-07,0.957190451656854,8.67642787904749e-05,0.067053173542857,0.000724142117546573,1.86125035406399e-18,2.22044604925031e-16,6.52678602849007e-13,"Penk"
9.93664261699735e-14,0.0772335627435695,6.88787150597209e-12,0.983200544930042,0.00021893346131996,0.997817271208614,0.0354595395319673,0.0488642755571785,0.102897562557071,1.83968313010419e-22,2.22044604925031e-16,6.52678602849007e-13,"Kcnh3"
2.62823572619042e-29,0.646413642226078,1.07889443498419e-27,0.999999689395662,5.19263668313036e-15,0.999843434157084,2.89101663008345e-09,0.505031931051861,7.30394434191601e-08,9.3477875051244e-28,5.55e-17,6.52678602849007e-13,"Fabp7"
2.93438795962309e-15,0.045980143163208,2.9062906833775e-14,0.977534134831884,1.50179348631213e-06,0.89539110842779,0.000812136683010626,0.452127842219354,0.00313394527217138,5.83302582267773e-23,2.22044604925031e-16,6.52678602849007e-13,"Camk2b"
7.09680457250399e-14,0.448569344157452,2.02281804713853e-12,0.98841036513998,3.56777740223267e-05,0.993763399979466,0.029885752358795,0.00449966937501476,0.0936641350333809,1.70317105742774e-18,2.22044604925031e-16,6.52678602849007e-13,"Baiap2"
2.33748601681942e-22,0.94725641776305,8.68161316470766e-21,0.999983948736321,3.59794060722326e-10,0.977974744599818,2.99125143094885e-05,0.27010380842776,0.000256090483776885,3.84484483735844e-25,5.55e-17,6.52678602849007e-13,"Apod"
7.17936433464645e-23,0.557982754068988,1.85800356939971e-23,0.999980332090307,2.06644913019864e-15,0.966949987752876,7.02510310846988e-11,0.957164896771395,6.5690466345273e-09,1.51480972490353e-16,1.11022302462516e-16,6.52678602849007e-13,"S100a5"
3.80095640014188e-16,0.0864288082152877,6.04733131091876e-15,0.965962572806,5.87654878214083e-07,0.974835454002774,0.000569625076406251,0.147379797521499,0.00216577801357686,3.20836279416795e-23,2.22044604925031e-16,6.52678602849007e-13,"Gpsm1"
1.89545868607247e-13,0.0639268295585518,2.78244876575256e-12,0.998759659437349,2.27718063178113e-05,0.937261922798777,0.00470229551430966,0.0289034240962716,0.00839406313230389,2.4856292876972e-20,2.22044604925031e-16,6.52678602849007e-13,"Cpne4"
2.29138950095375e-21,0.33408531803914,3.81723630322506e-21,0.999132521064387,3.77884157422281e-11,0.99856869470896,1.14949856236579e-06,0.739085957728488,2.16204434583038e-05,1.70530281371255e-24,5.55e-17,6.52678602849007e-13,"Sepp1"
7.83167748121567e-13,0.668699858206325,6.4789684186539e-12,0.7044822648411,1.43823006748284e-05,0.970981996091625,0.00236296849738099,0.124672110340439,0.00936012907857649,2.79697550349855e-19,2.22044604925031e-16,6.52678602849007e-13,"Gja1"
3.06778955157857e-27,0.502882204436449,4.08336975505591e-26,0.999982481561378,4.56150115272667e-14,0.999802776387483,2.03619863205578e-08,0.86079457811497,1.25511313559104e-06,7.65462035875997e-28,5.55e-17,6.52678602849007e-13,"Apoe"
4.10089442822711e-22,0.266603879120604,1.37981929064389e-22,0.999622754051995,7.50860274691452e-15,0.999900949412204,5.53263274488778e-11,0.429295281366822,2.74739537796883e-09,2.44758602624199e-18,5.55e-17,6.52678602849007e-13,"Omp"
6.75009803755436e-22,0.23995685289542,6.25200283876897e-21,0.999954440098838,8.82315574440381e-13,0.982010998486606,2.79337654016247e-09,0.253350031193571,4.98943320162358e-08,6.96833930171436e-17,1.11022302462516e-16,6.52678602849007e-13,"Kif5b"
1.28621096128314e-15,0.0327340052142188,8.11019743619022e-14,0.999860002633798,1.07835827687062e-05,0.997943343422832,0.00439763778706464,0.805053223172288,0.0126387072663585,4.45460917061554e-22,2.22044604925031e-16,6.52678602849007e-13,"Ncdn"
1.10439109796981e-18,0.0756999531803434,7.43846785492078e-17,0.991255793156431,9.69429308945796e-07,0.999357993594654,0.00531708481028297,0.652157021385217,0.0156930478193648,1.85286588222185e-25,1.11022302462516e-16,6.52678602849007e-13,"Glul"
9.56470150801165e-18,0.4295905299633,1.091023460517e-17,0.999227416764891,8.5640462679842e-09,0.970641335287551,0.000227488739422279,0.79274681071354,0.0017491039070164,5.22830786105616e-19,5.55e-17,6.52678602849007e-13,"Sash1"
3.44841744029673e-15,0.295928026215683,3.25528452228802e-14,0.989589852222682,5.32015830022513e-07,0.751914520650976,0.00056730490988403,0.48128438125225,0.0021468439036234,5.58037952277403e-18,2.22044604925031e-16,6.52678602849007e-13,"Nr2f2"
8.34689435561949e-20,0.169306474070573,1.04427617299829e-16,0.998302673861777,8.50403976902475e-07,0.945979871363497,0.00177863471098883,0.0275972185601714,0.0157781935134826,6.95123082418401e-28,1.11022302462516e-16,6.52678602849007e-13,"Sparcl1"
