"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
2.98693075342813e-23,1.29420079418298e-06,8.97590171750612e-22,0.996905912373934,4.48773860921209e-12,0.987045169076904,4.90580359590587e-07,0.630402882231434,1.09790357660782e-05,3.51350164674556e-23,5.55e-17,4.42800083174183e-13,"Gng13"
6.1099374235e-34,6.4842813362315e-11,5.56665824124944e-30,0.999996213833884,1.44903284512603e-15,0.983849183420783,4.06249461818204e-08,0.294712866321247,1.8258677500019e-06,2.7055879112521e-30,5.55e-17,4.42800083174183e-13,"Fabp7"
1.00990102978968e-26,7.25652709921123e-11,2.59440516367395e-23,0.999179675460416,3.46811927900344e-11,0.960258426557063,8.58142227022239e-05,0.0158300060263921,0.00111168791809681,3.15808627988447e-25,5.55e-17,4.42800083174183e-13,"Apod"
1.87141767306111e-26,5.20453332401819e-06,1.0384682627171e-24,0.999795534568676,4.81065265606848e-15,0.917117739380447,3.0811640423745e-09,0.179399582374283,3.94652920498216e-07,1.00684180199896e-17,5.55e-17,4.42800083174183e-13,"S100a5"
4.1153429647534e-25,7.94493102887955e-10,3.14861911800792e-23,0.98977293745146,6.87328727838184e-12,0.998152036841086,3.89424268029266e-06,0.474812582552378,9.73496836727235e-05,7.12393802570076e-28,5.55e-17,4.42800083174183e-13,"Sepp1"
6.98233960606636e-32,1.13135431446083e-11,1.30382338983741e-28,0.99010974806097,8.72415323057359e-15,0.997808308089279,1.04126087365881e-07,0.535208635560785,9.4475202003089e-06,8.00419302534056e-33,5.55e-17,4.42800083174183e-13,"Apoe"
6.53780464129304e-26,1.31500395225977e-06,2.36378817295646e-24,0.98542126584445,1.08971221432299e-14,0.975844393380291,4.94608325787202e-09,0.337757211300419,4.40595038720852e-07,1.2743042453726e-20,5.55e-17,4.42800083174183e-13,"Omp"
7.301135068836e-25,1.97767597861724e-05,9.53960959712254e-22,0.996699797188515,2.08695418970869e-12,0.973896886027764,6.5078520861322e-08,0.0956423177893368,1.23040184685133e-06,2.80686069478381e-18,5.55e-17,4.42800083174183e-13,"Kif5b"
3.24657554417827e-22,7.28581127050671e-12,5.82122198659945e-19,0.981770238583829,1.07937247637588e-07,0.964135490315847,0.00644344639644762,0.29918134446497,0.0215590079605861,4.28149243645945e-29,5.55e-17,4.42800083174183e-13,"Glul"
2.41856893220074e-21,1.90479362780873e-08,9.05446865961132e-20,0.92915051238532,1.35755829110429e-09,0.962834019464842,0.000369866253513183,0.541190484897892,0.0030444201983296,2.27031919315898e-21,5.55e-17,4.42800083174183e-13,"Sash1"
3.60211891199858e-23,5.196462908968e-10,1.88716703950739e-18,0.997529189415874,1.65285230058494e-07,0.95630477570679,0.00241365966176672,0.00420401923082472,0.0194896321367715,1.09570832206232e-32,5.55e-17,4.42800083174183e-13,"Sparcl1"
3.97290867677406e-25,6.050232070824e-07,8.14750467671765e-23,0.999835575974582,6.87462640522816e-13,0.858782409213909,2.16871900017135e-07,0.17618047706795,4.15684452431706e-06,1.03557178799391e-19,5.55e-17,4.42800083174183e-13,"Scd1"
4.82265640110886e-25,8.32855500140719e-05,1.66547475310769e-22,0.997859971368432,1.00691970561824e-13,0.919516804013836,5.2853101467754e-09,0.0432681281582053,3.84036930465463e-07,3.87163099179435e-19,5.55e-17,4.42800083174183e-13,"Mcf2l"
1.18989362604272e-22,1.90072121620968e-07,3.9215411473116e-20,0.999549854205508,2.10520765470122e-10,0.532353121279291,8.91763464842138e-06,0.617249405087861,0.000105470206078856,2.59119176443476e-24,5.55e-17,4.42800083174183e-13,"Igfbp5"
2.42979276875756e-20,1.25724107549603e-09,1.48998736403623e-16,0.999423743224709,5.24280547785219e-07,0.732851411624453,0.00456930162642537,0.295283866691491,0.0274782354996735,6.7763497531622e-26,1.11022302462516e-16,4.42889051933254e-13,"Pcp4"
5.25524744462788e-18,7.84972977604336e-07,1.51969465456949e-15,0.861104548508545,8.62997563090622e-07,0.999964006370839,0.00568412353634879,0.493954998060405,0.0296708688249418,6.94492754366174e-22,1.11022302462516e-16,4.42889051933254e-13,"Sez6"
6.1242108413203e-19,9.21116321315256e-08,6.86234329622655e-17,0.890758787174119,7.08384075764002e-09,0.712152704501445,5.39056006755582e-05,0.520498035196606,0.00118350789681527,2.80975642212112e-22,1.11022302462516e-16,4.42889051933254e-13,"Gng4"
1.42348993518478e-17,2.66964877452321e-06,1.02763254423333e-15,0.997731678730057,4.07726208408111e-08,0.895675435454164,0.000192018045252518,0.0873558007778766,0.00113930819350741,6.05309298575665e-20,1.11022302462516e-16,4.42889051933254e-13,"Penk"
8.10233220728133e-18,1.89945310605614e-07,1.53324621239905e-15,0.998570843365418,5.34096695428621e-07,0.700930710267082,0.00197818755465772,0.516574054346021,0.00935698895600996,7.53314714608037e-25,1.11022302462516e-16,4.42889051933254e-13,"Camk2b"
7.35041854945663e-19,7.74179777483377e-09,1.35286158061698e-16,0.999987527390689,1.38930447829632e-07,0.901086152995531,0.001974240826012,0.278523322450719,0.0107736006236363,2.03231200267405e-25,1.11022302462516e-16,4.42889051933254e-13,"Gpsm1"
1.14488671406495e-18,2.59737847678018e-08,9.69245394787708e-16,0.985850017717854,1.38385187594061e-06,0.9138294379001,0.00349987068345319,0.909331264920078,0.0103872357863141,2.71088403840721e-27,1.11022302462516e-16,4.42889051933254e-13,"Ncdn"
2.60059264974366e-18,3.14974200593602e-06,6.63568882729813e-16,0.997833146532935,1.22248459810737e-07,0.725478137581062,0.000877918408291451,0.105046507403359,0.00327273642644632,2.6157346892652e-20,1.11022302462516e-16,4.42889051933254e-13,"Nr2f2"
2.34453757655228e-17,7.55676462469477e-08,3.73643071968807e-15,0.790059659616754,7.04975006212008e-07,0.877559215652426,0.00167115065116213,0.793547297541671,0.0040483081604643,4.13604899797044e-23,1.11022302462516e-16,4.42889051933254e-13,"Calm2"
1.88445980880549e-18,1.00525884785633e-07,6.80719896816626e-17,0.983819911669901,6.81904088504563e-09,0.932015006577176,6.9117565265192e-05,0.430107511055144,0.00066089959009222,1.27149012147585e-19,1.11022302462516e-16,4.42889051933254e-13,"Timp3"
5.79739137752452e-19,3.90464430490746e-07,4.93398513492564e-16,0.992463685404791,5.22659732144563e-07,0.950268445298203,0.00291486350691154,0.0305121582961404,0.0191186786523208,4.44523016315924e-26,1.11022302462516e-16,4.42889051933254e-13,"Mbp"
1.15646927854172e-17,1.0603918060971e-07,1.12801671230574e-14,0.999271665373335,3.76424534736743e-06,0.889818860345002,0.0172515291768854,0.150290707859143,0.0836240959688895,7.68690601555042e-24,1.11022302462516e-16,4.42889051933254e-13,"Nrgn"
1.47957258370149e-20,3.30766213284003e-08,4.24686761980571e-17,0.999878452942709,3.84374938277294e-07,0.476802643229536,0.0330683187072593,0.00134824333917539,0.0972551797636416,1.25868896891391e-19,1.11022302462516e-16,4.42889051933254e-13,"Kctd12"
1.99017479382324e-17,9.93518047573003e-07,4.85227627412369e-16,0.994618385141502,6.83013613935125e-08,0.927611418372567,0.000488780667649654,0.2847182027721,0.00111597984747699,4.33010038145714e-18,1.11022302462516e-16,4.42889051933254e-13,"Ptn"
2.621668598817e-12,6.95668370869413e-06,2.26816992669149e-10,0.959779070367338,0.000251296469821825,0.303251093992043,0.0582932966296759,0.0451775521446716,0.0697242462836403,1.00626962359557e-18,2.22044604925031e-16,4.59292350153005e-13,"Ube2ql1"
5.07270008982868e-13,3.72523876453331e-07,6.79683715842499e-11,0.991971838272614,0.000183601791870366,0.808539357144098,0.0445863928944512,0.0223635256457753,0.111680346538263,5.99852165821442e-23,2.22044604925031e-16,4.59292350153005e-13,"Rbfox3"
3.92825631425482e-16,2.2528745276535e-07,3.96405713314611e-13,0.976431893018246,5.51178699991075e-05,0.993761522960616,0.0333587733850571,0.0021747111442243,0.100659764423602,1.26822354892326e-26,2.22044604925031e-16,4.59292350153005e-13,"Kcnh3"
2.52264371257195e-11,0.00142795459661243,6.17483042950218e-11,0.630205640301152,7.17666625731534e-06,0.269951090202103,0.00272267274826814,0.555543584294414,0.0184394627772522,1.20147979726684e-17,2.22044604925031e-16,4.59292350153005e-13,"Tspan3"
3.88868899775713e-16,3.73892279594863e-06,2.70507700810675e-13,0.995180408354722,1.95839618237965e-05,0.98163881544082,0.0376960626599454,0.00434186226378685,0.114598010797019,6.63527345566651e-21,2.22044604925031e-16,4.59292350153005e-13,"Baiap2"
2.78628701650568e-15,1.27485968739165e-06,5.84307843624541e-13,0.885523521897761,1.01877081250914e-05,0.847562372412053,0.006569253601555,0.166862459604307,0.0114738853475457,7.07661606909e-21,2.22044604925031e-16,4.59292350153005e-13,"Cpne4"
2.12358936592744e-12,4.18313349464653e-05,4.15832048787431e-10,0.975359012261766,0.000333959606475672,0.736724091684245,0.0524758801454331,0.0103542644055653,0.137129571746847,8.6851475871788e-20,2.22044604925031e-16,4.59292350153005e-13,"Ctxn1"
9.3778389070038e-14,3.41511231833447e-06,1.09189614913626e-12,0.559113933590801,4.88423353221782e-06,0.971706497493794,0.00394482691628588,0.975509476326972,0.0112128388289416,2.06508344738237e-19,2.22044604925031e-16,4.59292350153005e-13,"Syn1"
2.20445291911011e-17,7.38411094873602e-06,5.29232229360613e-17,0.968770941662459,8.46534879465298e-11,0.702796138871475,6.74888664835503e-07,0.0236718250509243,2.84275390666857e-05,8.85225048263975e-16,2.22044604925031e-16,4.59292350153005e-13,"Vtn"
2.60318680310137e-15,4.65642959502571e-07,1.05321257782129e-13,0.847935564677785,1.79164394649864e-06,0.864385305827518,0.00193414576637982,0.133764094730562,0.011675061112788,6.78169479770022e-24,2.22044604925031e-16,4.59292350153005e-13,"Gja1"
3.16358316608714e-18,2.8072033356225e-05,3.48347553598514e-16,0.999720701021679,5.35816515813848e-10,0.689054528939431,1.53815512242895e-06,0.22332778735102,4.49617228197343e-05,1.11994513615603e-13,2.22044604925031e-16,4.59292350153005e-13,"Trak2"
2.66612292127521e-13,0.000511150485285851,1.23605632318566e-11,0.980388124924475,3.67056466126404e-05,0.767846351050584,0.0190620298925276,0.0770177492967391,0.044099685671141,4.45515785339163e-19,2.22044604925031e-16,4.59292350153005e-13,"Igf1"
1.56535183650031e-16,2.3492337774304e-05,5.82824116295544e-14,0.972156874323306,2.8360648485771e-06,0.983732810701504,0.00449613750776663,0.0716016039205848,0.0205100748603201,3.31319760145683e-21,2.22044604925031e-16,4.59292350153005e-13,"Tubb2b"
1.26114760399205e-11,1.36500849207606e-05,1.47796265460758e-09,0.953522806050938,0.00161280255906614,0.719978083225826,0.16814811030658,0.132849914821426,0.206160580245079,5.91668651072641e-20,2.22044604925031e-16,4.59292350153005e-13,"Egr1"
8.20956001742522e-19,0.000273916565074019,1.49917544739986e-16,0.999883670452238,7.27693893538863e-09,0.794183662729709,6.50829992732072e-05,0.0529395494242477,0.000363797591572162,2.90098732735604e-16,2.22044604925031e-16,4.59292350153005e-13,"Lpar1"
2.04513240579534e-15,2.82393290605489e-05,2.67728683943057e-11,0.999999409910151,7.36302160608481e-05,0.356440014085323,0.0153874753574382,3.31958860276956e-06,0.029530567354123,1.02205900716926e-19,2.22044604925031e-16,4.59292350153005e-13,"Cck"
2.20916084631343e-13,0.000152462955157526,2.25580419636594e-12,0.759411071273084,1.18777429162034e-06,0.911006743533857,0.000227603488980735,0.684804670923606,0.00237820982745711,6.94183116693796e-21,2.22044604925031e-16,4.59292350153005e-13,"Ablim3"
3.04326884625682e-13,0.000134578231613291,6.63864188033503e-13,0.999914391170947,3.48115521009368e-07,0.799292961229842,0.000234253303139135,0.770168551611806,0.00171130634252879,1.31218119578593e-17,2.22044604925031e-16,4.59292350153005e-13,"Aplp1"
7.26413832550651e-13,3.93414879323678e-07,6.46052111958266e-12,0.98188128346835,6.9690874415192e-06,0.696581157900757,0.0032274757519732,0.338688990473922,0.0100864003357873,1.37362767225024e-18,2.22044604925031e-16,4.59292350153005e-13,"Ppia"
6.6785693921267e-13,0.000537973564222749,7.50166168067268e-12,0.989160864215692,1.18495805874189e-05,0.978776164602962,0.00762248003292106,0.248152022784807,0.0211916323580663,8.75548734427686e-19,2.22044604925031e-16,4.59292350153005e-13,"Gprin1"
2.47722383692195e-14,3.86051325651364e-07,2.23158376090781e-12,0.972407609245956,1.82090424481133e-05,0.669835202571306,0.0171171289677673,0.141220259148519,0.053866704353954,2.18864587967036e-21,2.22044604925031e-16,4.59292350153005e-13,"Grb2"
4.0738946877787e-13,1.47707625139531e-05,8.11943487789767e-11,0.988623930216437,0.000671534918021364,0.95495942918842,0.193882920091438,0.949768641367807,0.244255512425042,1.29298826233213e-17,2.22044604925031e-16,4.59292350153005e-13,"Atp1a1"
2.08890521928039e-11,0.000259415157364766,2.41148577927581e-10,0.992246757178529,6.85459756688295e-05,0.824873669081152,0.0109531926669096,0.436615558127279,0.0293397543231125,2.09726372272585e-17,2.22044604925031e-16,4.59292350153005e-13,"Camk2n1"
2.53395694337851e-14,8.46663817187348e-07,5.9288413013237e-13,0.994940711201553,2.7729513118422e-06,0.955346338605193,0.00343157880219326,0.00972896099418119,0.0112023840116039,4.53953208311053e-21,2.22044604925031e-16,4.59292350153005e-13,"Meis2"
2.2436416178656e-12,3.07672634245185e-06,5.14168161326085e-10,0.980248608461752,0.00148511467128913,0.906566406366039,0.225158636778916,0.329635702623257,0.379487843262203,5.89054317704838e-22,2.22044604925031e-16,4.59292350153005e-13,"Nrsn1"
2.98930630293988e-17,1.06251487933788e-07,2.39585044386075e-15,0.989809689074909,2.04838122456385e-07,0.862066263206041,0.00120459181473313,0.0930829090614926,0.00316613146187165,9.88014047586674e-18,2.22044604925031e-16,4.59292350153005e-13,"Fmo1"
1.1780451730174e-16,0.000496178103033049,1.11557090281881e-16,0.932602729798732,4.66640128508599e-10,0.974195444345064,4.89772757787418e-06,0.0558437466625881,6.40288551526165e-05,4.96578801243386e-15,7.7715611723761e-16,1.57829553052578e-12,"Igfbp4"
1.32901414041345e-15,3.45328799733938e-06,7.54700032001739e-14,0.995582313235833,4.10504578870438e-07,0.42260936459839,0.000820465893229305,0.00227055428444456,0.00301980379088653,7.6680365283012e-17,8.88178419700125e-16,1.65345246055082e-12,"Frzb"
1.81035894861543e-11,0.000656377441508733,3.43791635197217e-09,0.867186942313662,0.00116241600615045,0.523863643979284,0.0535903879471872,0.0699663671392031,0.0552190493760766,6.28863133938154e-17,8.88178419700125e-16,1.65345246055082e-12,"Mapk1"
